"Precisión.Global","Error.Global","Precisión.por.categoría","Falsos.positivos","Falsos.negativos","Asertividad.Positiva","Asertvidad.Negativa"
0.737096774193548,0.262903225806452,"0.878594,0.521429",0.00638977635782748,0.114285714285714,0.737373737373737,0.828313253012048
0.961290322580645,0.0387096774193548,"0.990415,0.878571",0,0.0142857142857143,0.938931297709924,0.965732087227414
0.963978494623656,0.0360215053763441,"0.987220,0.885714",0,0.0142857142857143,0.946564885496183,0.962616822429907
0.964516129032258,0.035483870967742,"0.987220,0.885714",0,0.0142857142857143,0.946564885496183,0.962616822429907
0.96505376344086,0.0349462365591398,"0.990415,0.885714",0,0.0142857142857143,0.939393939393939,0.962732919254658
0.966129032258065,0.0338709677419354,"0.990415,0.892857",0,0.00714285714285714,0.93984962406015,0.96875
0.962903225806452,0.0370967741935484,"0.987220,0.885714",0,0.0142857142857143,0.946564885496183,0.959627329192547
0.962903225806452,0.0370967741935484,"0.987220,0.900000",0,0.0142857142857143,0.926470588235294,0.965625
0.952150537634409,0.0478494623655914,"0.993610,0.907143",0.00319488817891374,0.0214285714285714,0.927007299270073,0.95398773006135
0.971505376344086,0.0284946236559139,"0.990415,0.928571",0,0.00714285714285714,0.955882352941177,0.987261146496815
0.973118279569892,0.0268817204301075,"0.990415,0.950000",0,0.0142857142857143,0.963768115942029,0.981012658227848
0.925806451612903,0.0741935483870968,"0.952077,0.785714",0.0351437699680511,0.0785714285714286,0.802919708029197,0.892215568862275
