"Precisión.Global","Error.Global","Precisión.por.categoría","Falsos.positivos","Falsos.negativos","Asertividad.Positiva","Asertvidad.Negativa"
0.894736842105263,0.105263157894737,"0.944000,0.821429",0.056,0.178571428571429,0.907894736842105,0.887218045112782
0.875598086124402,0.124401913875598,"0.912000,0.821429",0.088,0.178571428571429,0.8625,0.883720930232558
0.875598086124402,0.124401913875598,"0.904000,0.833333",0.096,0.166666666666667,0.853658536585366,0.889763779527559
0.885167464114832,0.114832535885168,"0.920000,0.833333",0.08,0.166666666666667,0.875,0.891472868217054
0.866028708133971,0.133971291866029,"0.896000,0.821429",0.104,0.178571428571429,0.841463414634146,0.881889763779528
0.837320574162679,0.162679425837321,"0.864000,0.797619",0.136,0.202380952380952,0.797619047619048,0.864
0.880382775119617,0.119617224880383,"0.912000,0.833333",0.088,0.166666666666667,0.864197530864197,0.890625
0.851674641148325,0.148325358851675,"0.880000,0.809524",0.12,0.19047619047619,0.819277108433735,0.873015873015873
0.875598086124402,0.124401913875598,"0.904000,0.833333",0.096,0.166666666666667,0.853658536585366,0.889763779527559
0.894736842105263,0.105263157894737,"0.928000,0.845238",0.072,0.154761904761905,0.8875,0.89922480620155
0.894736842105263,0.105263157894737,"0.928000,0.845238",0.072,0.154761904761905,0.8875,0.89922480620155
0.827751196172249,0.172248803827751,"0.856000,0.785714",0.144,0.214285714285714,0.785714285714286,0.856
