"Pais","Codigo.Pais","Indicador","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X"
"Aruba","ABW","Superficie forestal (% de la superficie terrestre)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,NA,NA,NA
"Aruba","ABW","Consumo de energía renovable (% del consumo total de energía final)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.268747068990415,0.234954767660835,0.238777584499868,0.195134319425155,0.183240539866902,0.173371733273026,0.167474284591361,0.160095867335473,0.15787569080815,0.160927638084104,0.175266080777474,0.180523334514406,0.181390903251784,0.184549671202048,0.187054711226682,0.186599449708851,0.189937226776767,0.190059132428849,0.193546025766485,0.299773815834368,5.46471590573899,5.661788374133,6.85584956908594,6.88975298437996,6.9275015416327,6.72674756598399,NA,NA,NA,NA
"Afghanistan","AFG","Superficie forestal (% de la superficie terrestre)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,NA,NA,NA
"Afghanistan","AFG","Consumo de energía renovable (% del consumo total de energía final)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9245316828932,17.0364435282942,26.5216286544368,30.5856670489932,32.7962505504008,35.0756402917937,37.9457475001443,41.4326008731029,44.0943368543633,52.1857743728053,54.2431263698384,54.0550550388989,43.7711485658802,42.2761408803626,49.8431476956196,40.8591712168299,37.1372494911803,33.8625788265031,21.3437080759002,17.8138547564602,14.8398059645804,11.4827062291243,13.9735856888609,16.3342925084743,19.3142686133983,18.4234771693218,NA,NA,NA,NA
"Angola","AGO","Superficie forestal (% de la superficie terrestre)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.9099221945937,48.8098172926526,48.7097123907115,48.6096106220422,48.5095057201011,48.4094008181599,48.3092959162188,48.2091910142777,48.1090892456084,48.0089843436673,47.9088794417262,47.808774539785,47.7086696378439,47.6085678691746,47.5084629672335,47.4083580652924,47.3082531633512,47.2081482614101,47.1080464927408,47.0079415907997,46.9078366888586,46.8077317869175,46.7076268849763,46.6075251163071,46.5074202143659,46.4073153124248,46.3072104104837,NA,NA,NA
"Angola","AGO","Consumo de energía renovable (% del consumo total de energía final)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.2552519216681,71.8886392044557,72.7232825172167,71.2770563190797,72.2202689083442,73.9458883392515,73.1396004507038,73.7344159506134,76.8197936265394,73.4107838285377,74.6181714427266,73.7578589617145,72.1251264392252,67.3061167192922,65.493064622132,70.9542023585248,65.022564178086,61.5997035024139,58.1079750373659,55.7489765055489,54.1938366242148,52.7156787625416,52.245736309469,50.6861160063949,50.7974606805424,49.5682103295777,NA,NA,NA,NA
"Albania","ALB","Superficie forestal (% de la superficie terrestre)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7883207223711,28.7171523936474,28.6459862924841,28.5748179637603,28.5036496350365,28.4324813063127,28.361312977589,28.2901468764257,28.2189785477019,28.1478102189781,28.0766418902543,28.1722621500057,28.2678824097571,28.3635026695084,28.4591251568203,28.5547454165716,28.5102187107949,28.4656942325787,28.421167526802,28.3766430485858,28.3321163428091,28.2970812720974,28.2620439738253,28.2270066755531,28.1919716048415,28.1569343065693,28.1218970082972,NA,NA,NA
"Albania","ALB","Consumo de energía renovable (% del consumo total de energía final)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5180876255371,32.9981742379589,46.8133288085849,51.152042295146,51.4595442246242,50.6097095765374,51.63636055808,55.953349416169,49.9833654433978,42.7183134087746,41.4454155743781,39.1256637546099,35.8962940284486,33.7527288306467,35.935868087458,36.8694891867287,31.7101954257698,32.1009372127814,35.9129061124767,37.2166378004051,37.1153297675702,35.9625316031337,40.048299596384,41.2889737241069,38.6895007576277,38.6152104692153,NA,NA,NA,NA
"Andorra","AND","Superficie forestal (% de la superficie terrestre)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,NA,NA,NA
"Andorra","AND","Consumo de energía renovable (% del consumo total de energía final)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2735502072872,14.2735502072872,14.308754463874,13.9189545867614,14.56102441664,14.4810480827273,14.1000476048869,14.1940024550855,14.4586417232136,14.5498905446165,14.8906640378678,15.7738680903706,16.2218188829498,16.9123075876121,16.8744281157969,16.9024368485536,17.4859942897689,16.9407765392179,17.4227405802947,17.5159481688922,19.090729970947,18.9715458373925,19.1955286928342,19.5636980308198,19.8863229427674,19.7478086257358,NA,NA,NA,NA
